number,File_No,title,img,data,Gold Standard,TAB-BART,TAB-T5,OCR-T5
359,two_col-1919.txt,Number of Burger King restaurants in the United States and Canada from 2011 to 2014,statista/dataset/imgs/two_col-1919.png,statista/dataset/data/two_col-1919.csv,"This statistic shows the number of Burger King restaurants in the United States and Canada from 2011 to 2014. There were 7,406 Burger King restaurants in the United States and Canada in 2014, down from 7,436 the previous year.","This statistic shows the number of Burger King restaurants in the United States and Canada from 2011 to 2014. In 2014, Burger King operated 7,406 restaurants throughout the U.S. and Canada.","This statistic shows the number of Burger King restaurants in the United States and Canada from 2011 to 2014. In 2014, Burger King had a total of 7,406 restaurants in operation throughout the United States and Canada.","This statistic shows the number of Burger King restaurants in the United States and Canada from 2011 to 2014. In 2014, there were 7,436 Burger King restaurants in the United States and Canada."
360,two_col-2559.txt,Total contribution of travel and tourism to GDP in Italy from 2014 to 2029 (in billion euros),statista/dataset/imgs/two_col-2559.png,statista/dataset/data/two_col-2559.csv,"In 2019, the contribution of travel and tourism to the Italian gross domestic product amounted to 237.8 billion euros. The industry, which is one of the most important ones for the country’s economy, constituted about 13.3 percent of the Italian GDP in the year considered and is predicted to reach 14.3 percent in 2029.","This statistic shows the total contribution of travel and tourism to GDP in Italy from 2014 to 2019, with an estimate for 2029. Over this period, the contribution of the tourism industry to the GDP of Italy has increased, reaching 237.8 billion euros in 2019.","This statistic presents the total contribution of travel and tourism to GDP in Italy from 2014 to 2019, with an additional forecast for 2029. In 2019, the contribution of the travel and tourism industry to GDP in Italy was around 237.8 billion euros.","This statistic shows the total contribution of travel and tourism to GDP in Italy from 2014 to 2018, with a forecast for 2029. According to forecasts, the contribution of the travel and tourism industry to GDP in Italy will reach 331 billion euros by 2029."
361,two_col-21338.txt,Cyber security market size of the project services and outsourcing segment in the United Kingdom (UK) from 2010 to 2017 (in million GBP),statista/dataset/imgs/two_col-21338.png,statista/dataset/data/two_col-21338.csv,"This statistics show the market size forecast of the project services and outsourcing segment, which is part of the cyber security market analysed by IT product and service type, in the United Kingdom (UK) from 2010 to 2017. The estimated size of the project services and outsourcing segment in 2017 is 1.45 billion British pounds (GBP).",This statistic shows the market size forecast of the project services and outsourcing segment in the United Kingdom (UK) from 2010 to 2017. The estimated cyber security market size of this segment in 2017 is 1.45 billion British pounds (GBP).,"This statistic shows the market size forecast of the project services and outsourcing segment in the cyber security market in the United Kingdom (UK) from 2010 to 2017. In 2017, the project services and outsourcing segment was estimated to be worth 1.45 billion British pounds (GBP).","This statistic shows the market size of the project services and outsourcing segment in the cyber security market in the United Kingdom (UK) from 2010 to 2017. In 2017, the project services and outsourcing segment in the UK's cyber security market had a market size of 1.45 billion British pounds."
362,multi_col-4905.txt,Net income of U.S. and European medical technology companies from 2009 to 2019 (in billion U.S. dollars),statista/dataset/imgs/multi_col-4905.png,statista/dataset/data/multi_col-4905.csv,"In 2019, U.S. American and European medical technology companies had a total combined net income of over 28 billion U.S. dollars. This statistic shows the net income of US American and European medical technology companies from 2009 to 2019.","This statistic shows the net income of U.S. and European medical technology companies from 2009 to 2019. In 2009, European companies made a net loss of 4.3 billion U. S. dollars.","This statistic shows the net income of U.S. and European medical technology companies from 2009 to 2019. In 2019, the net income of U.S. medical technology companies amounted to 28.5 billion U.S. dollars.","This statistic shows the net income of U.S. and European medical technology companies from 2009 to 2019. In 2019, the combined net income of U.S. and European medical technology companies amounted to about 5.2 billion U.S. dollars."
363,two_col-16461.txt,"Prime quarterly rent growth of commercial real estate in the United Kingdom in 1st quarter of 2020, by sector",statista/dataset/imgs/two_col-16461.png,statista/dataset/data/two_col-16461.csv,"Between the fourth quarter of 2019 and the first quarter of 2020, prime rent of both office and industrial real estate in the United Kingdom (UK) grew by 0.5 and 1.9 percent. In contrast, retail real estate rent, which was majorly affected by the coronavirus (COVID-19) crisis fell by one percent.","This statistic shows the quarterly rent growth of commercial real estate in the United Kingdom (UK) in the first quarter of 2020, by sector. Retail rents decreased by one percent during the quarter, while office rents increased by 0.5 percent.","This statistic shows the prime quarterly rent growth of commercial real estate in the United Kingdom in the first quarter of 2020, by sector. Retail properties saw the highest rent growth, with retail properties experiencing a decrease of one percent.","This statistic shows the prime quarterly rent growth of commercial real estate in the United Kingdom (UK) in the first quarter of 2020, by sector. In the first quarter of 2020, the office sector saw the highest rent growth, with a growth rate of 1.9 percent."
364,two_col-26630.txt,Leading states in number of private security personnel in Brazil in 2018,statista/dataset/imgs/two_col-26630.png,statista/dataset/data/two_col-26630.csv,"This statistic displays the leading states by number of active private security personnel in Brazil in 2018. That year, the state of São Paulo led the ranking, with nearly 264,400 private security workers, followed by Rio de Janeiro, with 90,520 employees.","The statistic shows the leading states in number of private security personnel in Brazil in 2018. In that year, São Paulo ranked first with 264,393 security personnel, followed by Rio de Janeiro with nearly 91,000 security personnel.","In 2018, So Paulo was the leading state in terms of number of private security personnel, with over 264 thousand security personnel. The capital city of Brazil, Rio de Janeiro, had the second highest number of private security personnel, with over 90 thousand.","This statistic shows the leading states in number of private security personnel in Brazil in 2018. In that year, the state of So Paulo had the highest number of private security personnel, with a total of 264,393 personnel."
365,multi_col-6347.txt,"Percentage of students who were ever physically forced to have sexual intercourse as of 2017, by gender and ethnicity",statista/dataset/imgs/multi_col-6347.png,statista/dataset/data/multi_col-6347.csv,"This statistic shows the share of American students in grades 9 to 12 who stated they have been physically forced to have sexual intercourse when they did not want to at least once in their lives. The results were sorted by gender and ethnicity. According to the survey, 11.7 percent of female student respondents with a black, non-Hispanic background stated they have been physically forced to have sexual intercourse against their will at least once in their lives.","This statistic presents the share of American students in grades 9 to 12 who stated they have been physically forced to have sexual intercourse as of 2017, by gender and ethnicity. During the survey period, it was found that 7.4 percent of male student respondents with a white, non-Hispanic background stated they were physically forced at least once to have intercourse.","This statistic shows the share of American students in grades 9 to 12 who stated they have been physically forced to have sexual intercourse as of 2017, by gender and ethnicity. The survey revealed that 11.2 percent of female student respondents with a black, non-Hispanic background stated they have been physically forced to have sexual intercourse.","This statistic shows the percentage of students who have ever been physically forced to have sexual intercourse as of 2017, by gender and ethnicity. According to the survey, 7.3 percent of male students with a white, non-Hispanic background stated that they have ever been physically forced to have sexual intercourse."
366,two_col-12201.txt,Number of visitors to the National Palace Museum in Taipei from 2011 to 2019 (in millions),statista/dataset/imgs/two_col-12201.png,statista/dataset/data/two_col-12201.csv,"This statistic shows the number of visitors to the National Palace Museum in Taipei from 2011 to 2019. Approximately 3.83 million people visited the Northern Branch of the National Palace Museum, an art museum in Taipei, in 2019.","This statistic shows the number of visitors to the National Palace Museum in Taipei from 2011 to 2019. In 2019, around 3.83 million people visited the National Museum of Taipei, down from 3.9 million visitors in the previous year.",This statistic shows the number of visitors to the National Palace Museum in Taipei from 2011 to 2019. The number of visitors to the National Palace Museum amounted to approximately 3.83 million in 2019.,"This statistic shows the number of visitors to the National Palace Museum in Taipei from 2011 to 2019. In 2019, the number of visitors to the National Palace Museum in Taipei amounted to approximately 4.36 million."
367,two_col-7694.txt,LafargeHolcim's net sales from FY 2007 to FY 2019 (in billion Swiss francs),statista/dataset/imgs/two_col-7694.png,statista/dataset/data/two_col-7694.csv,"This statistic represents LafargeHolcim Ltd's net sales from the fiscal year of 2007 to the fiscal year of 2019. In the fiscal year of 2019, the Swiss-based cement manufacturer generated net sales of around 26.72 billion Swiss francs (or about 27.51 billion U.S. dollars).","This statistic represents LafargeHolcim's net sales from the fiscal year of 2007 to the fiscalyear of 2019. The French multinational engineering and construction company generated around 26.7 billion Swiss francs in net sales in the fiscal period of 2019, down from 27.47 billion a year earlier.","This statistic shows the net sales of Swiss-based company LafargeHolcim from the fiscal year of 2007 to the fiscal year of 2019. In the fiscal year of 2019, the company generated revenues of around 26.72 billion Swiss francs.","This statistic shows the net sales of LafargeHolcim from the fiscal year of 2007 to the fiscal year of 2019. In the fiscal year of 2019, LafargeHolcim's net sales amounted to approximately 27.47 billion Swiss francs."
368,two_col-22126.txt,"Import value of goods to Singapore for 2019, by commodity (in billion Singapore dollars)",statista/dataset/imgs/two_col-22126.png,statista/dataset/data/two_col-22126.csv,"In 2019, Singapore imported approximately 236.8 billion Singapore dollars worth of machinery and equipment, making it the country's largest import commodity by value. This was followed by the import of mineral fuels and lubricants, valued at 102.7 billion Singapore dollars.","In 2019, the import value of machinery and equipment to Singapore amounted to approximately 236.8 billion Singapore dollars, while the value of mineral fuels and lubricants amounted to about 102.7 billion.","Machinery and equipment was the most valuable commodity for Singapore in 2019, with an import value of 236.8 billion Singapore dollars. Mineral fuels and lubricants were the second most valuable commodity for Singapore, with an import value of 102.7 billion Singapore dollars.","This statistic shows the import value of goods to Singapore for 2019, by commodity. In 2019, the import value of machinery and equipment to Singapore amounted to approximately 2368 billion Singapore dollars."
369,multi_col-1796.txt,"VPN usage increase in selected countries impacted by the coronavirus between March 8 and March 22, 2020",statista/dataset/imgs/multi_col-1796.png,statista/dataset/data/multi_col-1796.csv,"VPN usage in the United States has surged during the coronavirus crisis, increasing 124 percent during the two weeks between March 8 and March 22, 2020. The United States reported an increase of over 33,000 confirmed COVID-19 cases during these two weeks. Increased VPN usage can have many reasons, the most popular ones being access to other digital media content and social networks, and most importantly, access to different news sources. As some countries restrict access to many news and media outlets, users frequently use VPN to stay up to date with crucial developments.For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page.","Between March 8 and March 22, 2020, Italian VPN usage increased by 160 percent per week compared to the same period in the previous year. This statistic shows the increase in VPN usage per week in selected countries impacted by the coronavirus (COVID-19) pandemic.","Between March 8 and March 22, 2020, the usage of VPNs in Italy increased by 51,768 percent. The United States had the highest increase in usage of VPNs, with 33,005 users using the service. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page.","Between March 8 and March 22, 2020, VPN usage increased in selected countries impacted by the coronavirus (COVID-19) pandemic. In Italy, VPN usage increased by 517.68 per week. This statistic shows the increase in VPN usage in selected countries impacted by the coronavirus (COVID-19) from March 8 to March 22, 2020. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page."
370,two_col-1100.txt,"Number of new coronavirus (COVID-19) cases confirmed in Poland in 2021, by region (per 10,000 inhabitants)",statista/dataset/imgs/two_col-1100.png,statista/dataset/data/two_col-1100.csv,"The total number of infected individuals increased to a total of 1.3 million persons (231,214 active cases). Currently the rate of infection per 10,000 inhabitants is highest in the Zachodniopomorskie, followed by Kujawsko-pomorskie Voivodeship, and Warmińsko-mazurskie Voivodeship. The  highest number of infected people occurred in the Masovian Province (the center of Poland).  For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page.","The highest number of new coronavirus (COVID-19) cases in Poland was reported in Zachodniopomorskie, with 7.78 cases per 10,000 inhabitants. The second highest number was recorded in Kujawsko-Pomorski, with 5.19 cases per 100,000 people.  For further information about the coronavus pandemic, please visit our dedicated Facts and Figures page.","The most affected regions in Poland were the regions of Zachodniopomorskie and Kujawsko-Pomorskie. The number of cases of coronavirus (COVID-19) in Poland reached 5.19 per 100 thousand inhabitants in 2021. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page.","In 2021, the highest number of confirmed coronavirus (COVID-19) cases in Poland was recorded in the region of Zachodniopomorskie, with 7.78 cases per 10,000 inhabitants. The region with the highest number of confirmed cases was Kujawsko Pomorskie, with 5.19 cases per 10,000 inhabitants. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page."
371,two_col-21258.txt,Investment in small hydropower technology worldwide from 2004 to 2019 (in billion U.S. dollars),statista/dataset/imgs/two_col-21258.png,statista/dataset/data/two_col-21258.csv,"This graph illustrates global investment in small hydropower technologies from 2004 through 2019. In 2019, the world invested around 2.5 billion U.S. dollars in small hydropower technologies, down from four billion U.S. dollars in 2017.","This statistic represents the investment in small hydropower technology worldwide from 2004 to 2019. In 2019, around 2.5 billion U.S. dollars were invested in small-scale hydropowers.","This statistic shows the total investment in small hydropower technology worldwide from 2004 to 2019. In 2019, small hydropower technology investment amounted to 2.5 billion U.S. dollars.","This statistic shows the total investment in small hydropower technology worldwide from 2004 to 2019. In 2019, the global investment in small hydropower technology amounted to approximately 8.2 billion U.S. dollars."
372,two_col-4911.txt,Number of employees of the United States cruise industry from 2007 to 2018 (in thousands),statista/dataset/imgs/two_col-4911.png,statista/dataset/data/two_col-4911.csv,"This statistic shows the number of employees of the United States (and North American) cruise industry from 2007 to 2018. In 2018, the North American cruise industry employed approximately 246 thousand people.","This statistic shows the number of employees of the United States cruise industry from 2007 to 2018. In 2018, the U.S. cruise industry employed approximately 246,000 people.","This statistic shows the number of employees of the United States cruise industry from 2007 to 2018. In 2018, the cruise industry employed approximately 246 thousand people.","This statistic shows the number of employees of the United States cruise industry from 2007 to 2018. In 2018, the U.S. cruise industry employed approximately 233.7 thousand people."
373,two_col-9093.txt,"Paid search ad spend growth on Google in the United States in 2nd quarter 2020, by industry",statista/dataset/imgs/two_col-9093.png,statista/dataset/data/two_col-9093.csv,It was found that travel industry paid search ad spend on Google declined by 47 percent in the second quarter of 2020 compared to the corresponding period in the previous year. Unsurprising result given the implication of the coronavirus outbreak. At the same time B2B industry search ad spend on Google grew by eight percent.,"In the second quarter of 2020, Google's paid search ad spend in the United States increased by 47 percent when compared to the corresponding quarter of 2019. The highest growth was reported for the retail and consumer goods industry, with advertising spending increasing by 11 percent.","In the second quarter of 2020, Google's paid search ad spend in the United States grew by 47 percent compared to the previous year. The retail and consumer goods industry had the highest growth, with 11 percent compared to the previous year.","In the second quarter of 2020, Google's paid search ad spend in the U.S. grew by 11 percent compared to the same quarter of the previous year. Retail and consumer ad spend in the U.S. grew by 11 percent compared to the same quarter of the previous year."
374,two_col-27376.txt,"Percentage of land protected in Canada, by province or territory in 2014",statista/dataset/imgs/two_col-27376.png,statista/dataset/data/two_col-27376.csv,"This statistic shows the percentage of land in Canada that was protected in 2014, by province or territory. In 2014, 15.3 percent of land in British Columbia was designated as protected.","This statistic shows the percentage of land protected in Canada, distinguished by province or territory in 2014. In 2014, British Columbia had 15.3 percent of the land protected.","This statistic shows the percentage of land protected in Canada, by province or territory in 2014. In 2014, 3.1 percent of Prince Edward Island's land was protected.","This statistic shows the percentage of land protected in Canada in 2014, by province or territory. In 2014, 5.3 percent of land in Ontario was protected."
375,two_col-14888.txt,"Forecast volume of corn produced in the European Union (EU 27) from 2015 to 2028* (in 1,000 tons)",statista/dataset/imgs/two_col-14888.png,statista/dataset/data/two_col-14888.csv,"This statistic depicts the forecast volume of corn produced in the European Union-27 from 2015 to 2028. According to the data, the estimated production volume of corn was forecast to approximately 66 million tons by 2028.","This statistic illustrates the forecast volume of corn produced in the European Union-27 from 2015 to 2028. According to the data, the estimated production of corn in 2028 will decrease to approximately 65 million tonnes.","This statistic illustrates the forecast volume of corn produced in the European Union-27 from 2015 to 2028. According to the data, the estimated production volume of corn will increase to approximately 66.04 million tons by 2028.","This statistic shows the forecast volume of corn produced in the European Union-27 from 2015 to 2028. According to the data, the estimated production volume of corn in 2028 will increase to approximately 66 million tons."
376,multi_col-57.txt,"Resident population of Canada in 2020, by gender and age group (in millions)",statista/dataset/imgs/multi_col-57.png,statista/dataset/data/multi_col-57.csv,"In 2020, there were about 5.25 million males and 5.15 million females between the ages of 25 and 44 living in Canada, which was the most out of any age group. The next largest age group was between the ages of 45 and 64, with 5.03 million males and 5.12 million females.","This statistic shows the resident population of Canada in 2020, distinguished by gender and age group. In 2020, about 3.69 million males aged 65 years and older were living in Canada.","This statistic shows the resident population of Canada in 2020, distinguished by gender and age group. In 2020, about 3.69 million women and 3.55 million men were aged 65 years and over in Canada.","This statistic shows the resident population of Canada in 2020, by gender and age group. In 2020, there were approximately 5.15 million males and 5.15 million females aged 65 years and over living in Canada."
377,multi_col-2746.txt,"Current, binge, and heavy alcohol use in the United States in 2019, by age group*",statista/dataset/imgs/multi_col-2746.png,statista/dataset/data/multi_col-2746.csv,"This statistic displays the percentage of persons in the U.S. who had current, binge, and heavy alcohol use in the past month among persons aged 12 or older in the United States, by age group, in 2019. During this year, 9.5 percent of persons between 26 and 29 year olds claimed to have heavy alcohol use. Heavy use refers to five or more drinks on the same occasion on each of five or more days in the last 30 days.","This statistic depicts the percentage of current, binge, and heavy alcohol use in the United States in 2019, by age group. In that year, around 66.2 percent of those aged 21 to 25 years old who had been using heavy alcohol in the past year reported current use of alcohol. Heavy use refers to those who have drunk more than one drink in one sitting during the previous 12 months.","This statistic shows the percentage of current, binge, and heavy alcohol use in the United States in 2019, by age group. In 2019, about 66.2 percent of people aged between 26 and 29 years old reported to having been heavily alcoholed.","This statistic shows the current, binge, and heavy alcohol use in the United States in 2019, by age group. In 2019, 66 percent of respondents aged between 30 and 34 years stated that they had binged on alcohol."
378,two_col-9901.txt,"Number of motor vehicles produced by Nissan worldwide from 2006 to 2016 (in 1,000s units)",statista/dataset/imgs/two_col-9901.png,statista/dataset/data/two_col-9901.csv,"This statistic represents Nissan's worldwide motor vehicle production from 2006 through 2015. In 2016, the Japan-based motor vehicle manufacturer produced approximately 5.6 million vehicles worldwide.","This statistic represents the motor vehicle production of Nissan worldwide from 2006 through 2016. Globally, Nissan produced about 5.56 million vehicles in 2016.","This statistic represents Nissan's worldwide motor vehicle production from 2006 through 2016. In 2016, the Japanese automaker produced some 5.56 million vehicles worldwide.","This statistic shows the number of motor vehicles produced by Nissan worldwide from 2006 to 2016. In 2016, Nissan produced approximately 4.6 million vehicles worldwide."
379,multi_col-3305.txt,"Number of deaths in alcohol accidents in Denmark from 2012 to 2019, by age group",statista/dataset/imgs/multi_col-3305.png,statista/dataset/data/multi_col-3305.csv,"From 2007 to 2012, the number of deaths in alcohol accidents in Denmark decreased strongly. Since then, it fluctuated but grew generally again and amounted to 37 deaths as of 2019. Most alcohol related deaths affected people aged between 25 and 44 years, and between 45 and 64 years. In 2019, there were around 10 alcohol related deaths in both of these age groups. For the age group of 18 to 24 years, the total amount of deaths in alcohol accidents increased during the overall time period from 2012 to 2019, from five to six deaths.","This statistic shows the number of deaths in alcohol accidents in Denmark from 2012 to 2019, by age group. In 2019, there were two deaths among individuals aged 0 to 17 years.","In 2019, there were eight deaths in alcohol accidents in Denmark. The highest number of deaths in alcohol accidents in Denmark was among the aged 18 to 24 years, with 11 deaths in the same year.","This statistic shows the number of deaths in alcohol accidents in Denmark from 2012 to 2019, by age group. In 2019, 16 people aged between 18 and 24 years died in alcohol accidents in Denmark."
380,two_col-11488.txt,"Distribution of silicon imports to the United States between 2015 and 2018, by country of origin",statista/dataset/imgs/two_col-11488.png,statista/dataset/data/two_col-11488.csv,"This statistic displays the distribution of the total silicon imports to the United States between 2015 and 2018, by country of origin. As a primary exporter of silicon to the United States, Russia accounted for 20 percent of the U.S. silicon imports. Silicon alloys and metals are important in various industries. Ferrosilicon is commonly used in ferrous foundries and steel industries. Whereas, silicon metal is often used for aluminum, aluminum alloys, and the chemical industry. Silicon is also often used for semiconductors in solar panels, computer chips, and as a part of the automotive industry.","This statistic represents the distribution of silicon imports to the United States between 2015 and 2018, by country of origin. In that period, some 20 percent of U.S. silicon imports came from Russia. Silicon alloys and metals are important in various industries. Ferrosilicon is commonly used in ferrous foundries and steel industries.","This statistic shows the distribution of silicon imports to the United States between 2015 and 2018, by country of origin. Between 2015 and 2018, China accounted for 15 percent of silicon imports to the United States.","This statistic shows the distribution of silicon imports to the United States between 2015 and 2018, by country of origin. Between 2015 and 2018, 20 percent of silicon imports to the United States came from Russia."
381,two_col-19067.txt,Brexit relocation plans of firms in the United Kingdom in 2019,statista/dataset/imgs/two_col-19067.png,statista/dataset/data/two_col-19067.csv,"This statistic presents the results of a survey of British businesses, which asked if they had any relocation plans in place for Brexit, in 2019. Of respondents, 29 percent were either considering relocation, or were planning to due to Brexit. Over half of business said that they had no Brexit-related relocation plans.","This statistic shows the planned and actual Brexit relocation plans of firms in the United Kingdom (UK) in 2019. During the survey, 13 percent of respondents said they were considering relocating but not because of Brexit.","This statistic shows the results of a survey on the status of companies in the United Kingdom (UK) regarding their Brexit relocation plans in 2019. During the survey, 16 percent of respondents stated that they had a relocation plan or were planning to relocate due to Brexit.","This statistic shows the results of a survey asking businesses in the United Kingdom if they are planning to relocate because of Brexit in 2019. Of respondents, 62 percent said they were planning to relocate because of Brexit."
382,two_col-13767.txt,Bahrain: Urbanization from 2009 to 2019,statista/dataset/imgs/two_col-13767.png,statista/dataset/data/two_col-13767.csv,"This statistic shows the degree of urbanization in Bahrain from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 89.39 percent of Bahrain's total population lived in urban areas and cities.","This statistic shows the degree of urbanization in Bahrain from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 89.39 percent of Bahrain's total population lived in urban areas and cities.","This statistic shows the degree of urbanization in Bahrain from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 89.39 percent of Bahrain's total population lived in urban areas and cities.","This statistic shows the degree of urbanization in Bahrain from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 89.92 percent of Bahrain's total population lived in urban areas and cities."
383,multi_col-306.txt,"Number of novel coronavirus COVID-19 cumulative confirmed, recovered and death cases in Hong Kong from January 30 to December 21, 2020",statista/dataset/imgs/multi_col-306.png,statista/dataset/data/multi_col-306.csv,"The coronavirus (COVID-19) pandemic is swiftly spreading from the Chinese city Wuhan across the world. In Hong Kong, the number of active cases amounted to 1,197 with 130 deaths as of December 21, 2020. Public gathering restriction of only two people and mandatory mask-wearing in all indoor and outdoor public places have been imposed. The financial hub was one of the places which were able to flatten the pandemic curve for a long time, ensuring the healthcare system is not overloaded.","On December 21, 2020, there were 8,237 confirmed novel coronavirus COVID-19 cases in Hong Kong. The capital city of Hong Kong had the second-highest number of confirmed cases in the country, followed by the city of Hanoi.","As of December 21, 2020, Hong Kong had 8,237 confirmed novel coronavirus COVID-19 cases, of which 130 were recovered and 6,910 were fatal. The country registered a total of 123,034 confirmed cases of COVID-19 in the country.","As of December 21, 2020, Hong Kong had the highest number of confirmed coronavirus COVID-19 cases in Hong Kong. The number of deaths and recoveries from COVID-19 in Hong Kong amounted to a total of 4,016 as of December 21, 2020."
384,two_col-4551.txt,Algeria: Gross domestic product (GDP) in current prices from 1984 to 2021* (in billion international dollars),statista/dataset/imgs/two_col-4551.png,statista/dataset/data/two_col-4551.csv,"The statistic shows gross domestic product (GDP) in Algeria from 1984 to 2018, with projections up until 2021. Gross domestic product (GDP) denotes the aggregate value of all services and goods produced within a country in any given year. GDP is an important indicator of a country's economic power. In 2018, Algeria's gross domestic product amounted to around 652.8 billion international dollars.","The statistic shows gross domestic product (GDP) in Algeria from 1984 to 2018, with projections up until 2021. Gross domestic product or GDP is the total value of all goods and services produced in a country in a year. It is considered to be a very important indicator of the economic strength of a country and a positive change is an indicator of economic growth. In 2018, Algeria's gross domestic domestic product amounted to around 652.8 billion international dollars.","The statistic shows gross domestic product (GDP) in Algeria from 1984 to 2018, with projections up until 2021. Gross domestic product (GDP) denotes the aggregate value of all services and goods produced within a country in any given year. GDP is an important indicator of a country's economic power. In 2018, Algeria's gross domestic product amounted to around 652.8 billion international dollars.","The statistic shows gross domestic product (GDP) in Algeria from 1984 to 2018, with projections up until 2021. Gross domestic product (GDP) denotes the aggregate value of all services and goods produced within a country in any given year. GDP is an important indicator of a country's economic power. In 2018, Algeria's gross domestic product amounted to around 691.36 billion international dollars."
385,two_col-16054.txt,"Conversion rate of online shoppers worldwide as of 2nd quarter 2019, by device",statista/dataset/imgs/two_col-16054.png,statista/dataset/data/two_col-16054.csv,"This statistic provides data on the conversion rate of global online shoppers in the second quarter of 2019, sorted by device. During this period, 3.49 percent of e-commerce website visits via tablet devices were converted into purchases.","This statistic presents the conversion rate of online shoppers worldwide as of the second quarter of 2019, sorted by device. During the measured period, it was found that 3.9 percent of global online shoppers converted via desktop device to purchases.","This statistic presents the conversion rate of online shoppers worldwide as of the second quarter of 2019, sorted by device. During the measured period, 3.39 percent of online shoppers accessed the internet via their desktop computer.","This statistic presents the conversion rate of online shoppers worldwide as of the second quarter of 2019, sorted by device. During the survey period, it was found that 34.9 percent of global online shoppers accessed the internet via their mobile phone."
386,two_col-3259.txt,Global Apple iPod sales from 1st quarter 2006 to 4th quarter 2014 (in million units)*,statista/dataset/imgs/two_col-3259.png,statista/dataset/data/two_col-3259.csv,"This statistic shows global Apple iPod sales from the first quarter of 2006 to the most recent fiscal quarter. In the first quarter of the 2006 fiscal year (October to December 2005), Apple sold 14.04 million iPods worldwide. In all of its 2006 fiscal year Apple sold more than 39 million iPods.","The statistic shows the global iPod sales from the first quarter of 2006 to the fourth quarter of 2014. In the first half of 2009, Apple sold 22.73 million iPod units worldwide.","This statistic shows the global iPod sales of Apple from the first quarter of 2006 to the fourth quarter of 2014. In the fourth quarter of 2014, Apple sold 2.64 million iPods worldwide.","This statistic shows Apple iPod sales worldwide from the first quarter of 2006 to the fourth quarter of 2014. In the fourth quarter of 2014, Apple sold 17.4 million iPods worldwide."
387,two_col-12971.txt,Samoa: Urbanization from 2009 to 2019,statista/dataset/imgs/two_col-12971.png,statista/dataset/data/two_col-12971.csv,"This statistic shows the degree of urbanization in Samoa from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 18.06 percent of Samoa's total population lived in urban areas and cities.","This statistic shows the degree of urbanization in Samoa from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 18.06 percent of Samoa's total population lived in urban areas and cities.","This statistic shows the degree of urbanization in Samoa from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 18.06 percent of Samoa's total population lived in urban areas and cities.","This statistic shows the degree of urbanization in Samoa from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 20.08 percent of Samoa's total population lived in urban areas and cities."
388,two_col-7325.txt,Projection of the U.S. wheat harvested area from 2010/2011 to 2027/2028 (in million acres),statista/dataset/imgs/two_col-7325.png,statista/dataset/data/two_col-7325.csv,"This statistic illustrates projections for the U.S. wheat harvested area from 2010/2011 to 2027/2028, measured in million acres. For crop year 2027/2028, the harvested area of wheat in the U.S. is projected to be some 38.9 million acres.","This statistic shows a projection of the wheat harvested area in the United States from 2010/2011 to 2027/2028. According to the report, the total area of wheat harvested in the U.S. was forecasted to be 39.9 million acres by 2028.","This statistic shows the total area of wheat harvested in the United States from 2010/2011 to 2027/2028. In 2027/2028, the total area of wheat harvested in the United States is projected to amount to approximately 38.9 million acres.","This statistic shows the projection of the U.S. wheat harvested area from 2010/2011 to 2027/2028. In 2027/2028, the harvested area of wheat in the United States is projected to be around 48.8 million acres."
389,multi_col-1814.txt,Israel: Distribution of employment by economic sector from 2010 to 2020,statista/dataset/imgs/multi_col-1814.png,statista/dataset/data/multi_col-1814.csv,"The statistic shows the distribution of employment in Israel by economic sector from 2010 to 2020. In 2020, 0.9 percent of the employees in Israel were active in the agricultural sector, 16.82 percent in industry and 82.28 percent in the service sector.","The statistic shows the distribution of employment in Israel by economic sector from 2010 to 2020. In 2020, 0.9 percent of the employees in Israel were active in the agricultural sector, 16.82 percent in industry and 82.28 percent in the service sector.","The statistic shows the distribution of employment in Israel by economic sector from 2010 to 2020. In 2020, 0.9 percent of the employees in Israel were active in the agricultural sector, 16.82 percent in industry and 82.28 percent in the service sector.","The statistic shows the distribution of employment in Israel by economic sector from 2010 to 2020. In 2020, 16.82 percent of the employees in Israel were active in the agricultural sector, 17.68 percent in industry and 82.28 percent in the service sector."
